timestamp,cell_name,gnb_name,prb_utilization,avg_rrc_users,throughput_mbps
2025-03-01 00:00:00,Cell_01,gNB_01,8.82,35,925.8
2025-03-01 00:00:00,Cell_02,gNB_01,20.44,64,822.7
2025-03-01 00:00:00,Cell_03,gNB_01,12.56,30,743.8
2025-03-01 00:00:00,Cell_04,gNB_01,20.19,55,813.8
2025-03-01 00:00:00,Cell_05,gNB_02,7.24,0,896.1
2025-03-01 00:00:00,Cell_06,gNB_02,15.31,45,852.4
2025-03-01 00:00:00,Cell_07,gNB_02,14.62,65,868.4
2025-03-01 00:00:00,Cell_08,gNB_02,14.88,51,798.3
2025-03-01 00:00:00,Cell_09,gNB_03,14.15,55,795.2
2025-03-01 00:00:00,Cell_10,gNB_03,14.85,32,861.3
2025-03-01 00:00:00,Cell_11,gNB_03,18.61,78,763.4
2025-03-01 00:00:00,Cell_12,gNB_03,8.4,22,968.9
2025-03-01 00:00:00,Cell_13,gNB_04,11.85,43,910.6
2025-03-01 00:00:00,Cell_14,gNB_04,24.27,72,741.8
2025-03-01 00:00:00,Cell_15,gNB_04,10.39,52,887.2
2025-03-01 00:00:00,Cell_16,gNB_04,10.44,48,963.4
2025-03-01 00:00:00,Cell_17,gNB_05,16.04,54,888.2
2025-03-01 00:00:00,Cell_18,gNB_05,20.36,70,874.6
2025-03-01 00:00:00,Cell_19,gNB_05,18.4,63,745.1
2025-03-01 00:00:00,Cell_20,gNB_05,14.59,47,872.0
2025-03-01 01:00:00,Cell_01,gNB_01,4.46,3,992.6
2025-03-01 01:00:00,Cell_02,gNB_01,2.46,0,950.3
2025-03-01 01:00:00,Cell_03,gNB_01,7.58,34,982.1
2025-03-01 01:00:00,Cell_04,gNB_01,7.23,17,953.4
2025-03-01 01:00:00,Cell_05,gNB_02,7.36,46,935.2
2025-03-01 01:00:00,Cell_06,gNB_02,7.38,15,909.8
2025-03-01 01:00:00,Cell_07,gNB_02,3.37,30,951.7
2025-03-01 01:00:00,Cell_08,gNB_02,7.16,25,916.7
2025-03-01 01:00:00,Cell_09,gNB_03,4.5,9,940.5
2025-03-01 01:00:00,Cell_10,gNB_03,4.03,11,979.9
2025-03-01 01:00:00,Cell_11,gNB_03,5.11,3,1019.1
2025-03-01 01:00:00,Cell_12,gNB_03,7.83,0,920.4
2025-03-01 01:00:00,Cell_13,gNB_04,3.71,14,941.3
2025-03-01 01:00:00,Cell_14,gNB_04,5.02,14,964.9
2025-03-01 01:00:00,Cell_15,gNB_04,2.87,15,970.9
2025-03-01 01:00:00,Cell_16,gNB_04,3.45,29,1003.1
2025-03-01 01:00:00,Cell_17,gNB_05,3.43,0,1034.9
2025-03-01 01:00:00,Cell_18,gNB_05,5.79,29,1051.6
2025-03-01 01:00:00,Cell_19,gNB_05,2.54,1,1020.8
2025-03-01 01:00:00,Cell_20,gNB_05,3.12,12,943.6
2025-03-01 02:00:00,Cell_01,gNB_01,6.07,21,921.0
2025-03-01 02:00:00,Cell_02,gNB_01,3.36,0,990.1
2025-03-01 02:00:00,Cell_03,gNB_01,6.15,30,930.5
2025-03-01 02:00:00,Cell_04,gNB_01,2.83,0,955.6
2025-03-01 02:00:00,Cell_05,gNB_02,7.55,21,952.3
2025-03-01 02:00:00,Cell_06,gNB_02,5.96,24,1005.8
2025-03-01 02:00:00,Cell_07,gNB_02,5.18,13,937.9
2025-03-01 02:00:00,Cell_08,gNB_02,7.38,29,965.3
2025-03-01 02:00:00,Cell_09,gNB_03,4.03,33,916.3
2025-03-01 02:00:00,Cell_10,gNB_03,7.38,29,943.5
2025-03-01 02:00:00,Cell_11,gNB_03,5.85,23,983.9
2025-03-01 02:00:00,Cell_12,gNB_03,2.06,11,943.7
2025-03-01 02:00:00,Cell_13,gNB_04,2.03,9,918.9
2025-03-01 02:00:00,Cell_14,gNB_04,6.15,3,971.3
2025-03-01 02:00:00,Cell_15,gNB_04,6.27,10,880.8
2025-03-01 02:00:00,Cell_16,gNB_04,6.48,37,955.8
2025-03-01 02:00:00,Cell_17,gNB_05,5.95,7,947.8
2025-03-01 02:00:00,Cell_18,gNB_05,4.21,1,917.1
2025-03-01 02:00:00,Cell_19,gNB_05,7.84,40,909.6
2025-03-01 02:00:00,Cell_20,gNB_05,5.79,20,1014.8
2025-03-01 03:00:00,Cell_01,gNB_01,5.46,0,943.7
2025-03-01 03:00:00,Cell_02,gNB_01,6.33,6,960.8
2025-03-01 03:00:00,Cell_03,gNB_01,7.64,24,960.6
2025-03-01 03:00:00,Cell_04,gNB_01,7.8,14,846.3
2025-03-01 03:00:00,Cell_05,gNB_02,7.11,10,903.3
2025-03-01 03:00:00,Cell_06,gNB_02,5.34,21,965.9
2025-03-01 03:00:00,Cell_07,gNB_02,5.42,22,905.4
